Run name,Disturbance rate parameter,Weathering rate parameter,Proportion regolith,Proportion rock,Number regolith-air pairs,Number rock-air pairs,Number surface pairs,Total regolith cells,Regolith thickness
d-30w-39,0.001,0.000125892541179,0.186119873817,0.813880126183,59,258,317,32,0.405063291139
d-40w-14,0.0001,0.0398107170553,0.993630573248,0.00636942675159,156,1,157,79,1.0
d-30w-18,0.001,0.0158489319246,0.867924528302,0.132075471698,138,21,159,69,0.873417721519
d-40w-32,0.0001,0.00063095734448,0.406091370558,0.593908629442,80,117,197,43,0.544303797468
d-30w-27,0.001,0.00199526231497,0.769696969697,0.230303030303,127,38,165,67,0.848101265823
d-30w-20,0.001,0.01,0.732484076433,0.267515923567,115,42,157,59,0.746835443038
d-40w-35,0.0001,0.000316227766017,0.297872340426,0.702127659574,70,165,235,37,0.46835443038
d-30w-29,0.001,0.00125892541179,0.538922155689,0.461077844311,90,77,167,47,0.594936708861
d-30w-16,0.001,0.0251188643151,0.974522292994,0.0254777070064,153,4,157,78,0.987341772152
d-30w-11,0.001,0.0794328234724,0.993630573248,0.00636942675159,156,1,157,79,1.0
d-30w-10,0.001,0.1,0.993630573248,0.00636942675159,156,1,157,86,1.08860759494
d-30w-28,0.001,0.00158489319246,0.754491017964,0.245508982036,126,41,167,63,0.79746835443
d-30w-17,0.001,0.0199526231497,0.898089171975,0.101910828025,141,16,157,73,0.924050632911
d-40w-34,0.0001,0.000398107170553,0.280542986425,0.719457013575,62,159,221,32,0.405063291139
d-30w-21,0.001,0.00794328234724,0.826086956522,0.173913043478,133,28,161,65,0.822784810127
d-30w-19,0.001,0.0125892541179,0.891719745223,0.108280254777,140,17,157,71,0.898734177215
d-30w-26,0.001,0.00251188643151,0.779874213836,0.220125786164,124,35,159,67,0.848101265823
d-40w-33,0.0001,0.000501187233627,0.449275362319,0.550724637681,93,114,207,48,0.607594936709
d-20w-26,0.01,0.00251188643151,0.662721893491,0.337278106509,112,57,169,53,0.670886075949
d-10w-36,0.1,0.000251188643151,0.0903010033445,0.909698996656,27,272,299,11,0.139240506329
d-20w-19,0.01,0.0125892541179,0.917197452229,0.0828025477707,144,13,157,81,1.0253164557
d-20w-21,0.01,0.00794328234724,0.859872611465,0.140127388535,135,22,157,74,0.936708860759
d-10w-31,0.1,0.000794328234724,0.227513227513,0.772486772487,43,146,189,23,0.291139240506
d-20w-17,0.01,0.0199526231497,0.955414012739,0.0445859872611,150,7,157,85,1.07594936709
d-10w-38,0.1,0.000158489319246,0.0571428571429,0.942857142857,22,363,385,11,0.139240506329
d-20w-28,0.01,0.00158489319246,0.560693641618,0.439306358382,97,76,173,51,0.645569620253
d-20w-10,0.01,0.1,0.987261146497,0.0127388535032,155,2,157,91,1.15189873418
d-20w-11,0.01,0.0794328234724,0.980891719745,0.0191082802548,154,3,157,87,1.10126582278
d-20w-16,0.01,0.0251188643151,0.96178343949,0.0382165605096,151,6,157,88,1.11392405063
d-10w-39,0.1,0.000125892541179,0.0481586402266,0.951841359773,17,336,353,9,0.113924050633
d-20w-29,0.01,0.00125892541179,0.666666666667,0.333333333333,110,55,165,63,0.79746835443
d-20w-20,0.01,0.01,0.905660377358,0.0943396226415,144,15,159,78,0.987341772152
d-10w-30,0.1,0.001,0.307262569832,0.692737430168,55,124,179,27,0.341772151899
d-20w-27,0.01,0.00199526231497,0.666666666667,0.333333333333,110,55,165,55,0.696202531646
d-10w-37,0.1,0.000199526231497,0.094395280236,0.905604719764,32,307,339,14,0.177215189873
d-20w-18,0.01,0.0158489319246,0.87898089172,0.12101910828,138,19,157,77,0.974683544304
d-10w-15,0.1,0.0316227766017,0.949044585987,0.0509554140127,149,8,157,94,1.18987341772
d-10w-12,0.1,0.063095734448,0.949044585987,0.0509554140127,149,8,157,93,1.17721518987
d-10w-24,0.1,0.00398107170553,0.779874213836,0.220125786164,124,35,159,63,0.79746835443
d-20w-34,0.01,0.000398107170553,0.236514522822,0.763485477178,57,184,241,30,0.379746835443
d-10w-23,0.1,0.00501187233627,0.867924528302,0.132075471698,138,21,159,68,0.860759493671
d-20w-33,0.01,0.000501187233627,0.2466367713,0.7533632287,55,168,223,29,0.367088607595
d-10w-40,0.1,0.0001,0.0356164383562,0.964383561644,13,352,365,6,0.0759493670886
d-10w-22,0.1,0.0063095734448,0.796178343949,0.203821656051,125,32,157,67,0.848101265823
d-20w-32,0.01,0.00063095734448,0.284518828452,0.715481171548,68,171,239,34,0.430379746835
d-10w-25,0.1,0.00316227766017,0.723270440252,0.276729559748,115,44,159,56,0.708860759494
d-20w-35,0.01,0.000316227766017,0.32319391635,0.67680608365,85,178,263,42,0.53164556962
d-10w-13,0.1,0.0501187233627,0.974522292994,0.0254777070064,153,4,157,97,1.22784810127
d-10w-14,0.1,0.0398107170553,0.917197452229,0.0828025477707,144,13,157,89,1.12658227848
d-40w-11,0.0001,0.0794328234724,0.993630573248,0.00636942675159,156,1,157,79,1.0
d-40w-16,0.0001,0.0251188643151,0.929936305732,0.0700636942675,146,11,157,74,0.936708860759
d-40w-29,0.0001,0.00125892541179,0.449101796407,0.550898203593,75,92,167,39,0.493670886076
d-40w-20,0.0001,0.01,0.798742138365,0.201257861635,127,32,159,65,0.822784810127
d-30w-35,0.001,0.000316227766017,0.289361702128,0.710638297872,68,167,235,35,0.443037974684
d-30w-32,0.001,0.00063095734448,0.31455399061,0.68544600939,67,146,213,33,0.417721518987
d-40w-27,0.0001,0.00199526231497,0.704402515723,0.295597484277,112,47,159,58,0.73417721519
d-40w-18,0.0001,0.0158489319246,0.929936305732,0.0700636942675,146,11,157,74,0.936708860759
d-40w-26,0.0001,0.00251188643151,0.863354037267,0.136645962733,139,22,161,71,0.898734177215
d-30w-33,0.001,0.000501187233627,0.323943661972,0.676056338028,69,144,213,36,0.455696202532
d-40w-19,0.0001,0.0125892541179,0.891719745223,0.108280254777,140,17,157,71,0.898734177215
d-30w-34,0.001,0.000398107170553,0.351598173516,0.648401826484,77,142,219,43,0.544303797468
d-40w-21,0.0001,0.00794328234724,0.687898089172,0.312101910828,108,49,157,55,0.696202531646
d-40w-17,0.0001,0.0199526231497,0.974522292994,0.0254777070064,153,4,157,77,0.974683544304
d-40w-28,0.0001,0.00158489319246,0.534161490683,0.465838509317,86,75,161,44,0.556962025316
d-40w-10,0.0001,0.1,0.993630573248,0.00636942675159,156,1,157,79,1.0
